Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
HINDPETRO.NS,228.3,2020/07/20,13:13 IST,4.300003,224.0,229.5,223.05,5634287,20200416,217.3,87.0,,,,
NTPC.NS,87.5,2020/07/20,13:13 IST,-0.80000305,88.9,88.9,87.45,6194718,20200416,93.3,178.0,,,,
CUMMINSIND.NS,393.4,2020/07/20,13:13 IST,8.649994,384.75,393.8,384.5,606135,20200416,368.32,53.0,,,,
INFY.NS,915.25,2020/07/20,13:13 IST,12.099976,908.5,924.45,906.75,9831492,20200406,676.9,37.0,,,,
ITC.NS,192.9,2020/07/20,13:13 IST,-1.1500092,195.0,195.35,192.35,11216402,20200406,174.3,98.0,,,,
HINDZINC.NS,188.5,2020/07/20,13:12 IST,0.55000305,188.8,190.95,188.15,208760,20200406,167.65,92.0,,,,
PETRONET.NS,265.4,2020/07/20,13:13 IST,2.1999817,264.95,267.5,262.8,980822,20200406,231.65,84.0,,,,
INDUSINDBK.NS,530.15,2020/07/20,13:13 IST,9.350037,524.95,541.65,521.65,14446237,20200406,422.3,49.0,,,,
HEROMOTOCO.NS,2812.75,2020/07/20,13:13 IST,48.69995,2764.05,2818.5,2742.2,822352,20200406,1963.4,16.0,,,,
BANDHANBNK.NS,354.25,2020/07/20,13:13 IST,1.4500122,356.0,358.8,348.6,6597025,20200406,237.8,67.0,,,,
