Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BHARTIARTL.NS,570.25,2020/07/22,10:18 IST,2.5,568.0,570.6,562.8,2406567,20200416,555.29,44.0,,,,
KOTAKGOLD.NS,439.65,2020/07/22,10:17 IST,6.049988,433.1,454.0,432.1,7438,20200416,416.97,444.0,,,,
IRCTC.NS,1380.55,2020/07/22,10:18 IST,-9.649902,1395.0,1398.7,1378.0,138911,20200416,1417.93,65.0,,,,
VBL.NS,724.5,2020/07/22,10:18 IST,9.099976,720.0,725.0,710.0,29732,20200416,646.91,126.0,,,,
NAUKRI.NS,3181.25,2020/07/22,10:18 IST,-24.949951,3200.25,3237.9,3173.0,61195,20200416,2662.0,35.0,,,,
BHEL.NS,37.9,2020/07/22,10:18 IST,-0.099998474,38.3,38.3,37.5,7731316,20200416,27.75,1173.0,,,,
NIFTYBEES.NS,118.21,2020/07/22,10:18 IST,-0.33000183,119.0,119.2,117.84,759141,20200416,98.1,7544.0,,,,
N100.NS,800.02,2020/07/22,10:18 IST,-8.159973,790.0,820.0,790.0,6786,20200416,670.67,1385.0,,,,
SYNGENE-EQ.NS,419.0,2020/07/22,10:18 IST,-4.850006,418.0,424.3,408.0,153537,20200416,335.58,276.0,,,,
ITC.NS,197.05,2020/07/22,10:18 IST,4.800003,193.0,197.4,192.5,11496377,20200416,165.13,295.0,,,,
ASTEC.NS,1044.85,2020/07/22,10:18 IST,-27.450073,1072.3,1075.05,1035.05,49444,20200416,578.55,159.0,,,,
BHARATRAS.NS,9435.0,2020/07/22,10:18 IST,-37.700195,9501.0,9549.9,9312.1,1833,20200416,6572.49,14.0,,,,
QUESS.NS,342.35,2020/07/22,10:16 IST,-0.8500061,347.0,347.0,337.35,22481,20200416,183.5,502.0,,,,
